YearMonth,Preco_Kg_Real,SPI_A001,SPI_A002,SPI_A003,SPI_A004,SPI_A008,SPI_A009,SPI_A010,SPI_A011,SPI_A012,SPI_A013,SPI_A014,SPI_A015,SPI_A016,SPI_A018,SPI_A020,SPI_A021,SPI_A023,SPI_A024,SPI_A025,SPI_A026,SPI_A027,SPI_A028,SPI_A033,SPI_A034,SPI_A035,SPI_A036,SPI_A037,SPI_A040,SPI_A041,SPI_A042,SPI_A043,SPI_A044,SPI_A045,SPI_A047,SPI_A049,SPI_A050,SPI_A051,SPI_A053,SPI_A055
2011-01,0.399333333,0.148871166,0.214369212,-1.339692924,0.27838003,1.189893761,0.966036603,0.622885862,1.217682546,0.107559264,0.981898055,0.202890331,0.711775561,0.847436703,1.191150531,0.652193668,1.22371305,0.635449565,0.719274919,-0.313473237,0.635411664,1.089825726,0.057435263,0.974890895,0.379584126,-0.274065804,0.856305735,-0.276364612,-0.009567429,-0.03827848,0.54204681,0.086212229,0.386697908,0.97852595,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2011-02,0.454166667,0.195256466,0.162976857,-1.169517968,0.30093578,1.13115771,0.932339326,0.578303938,1.16159543,0.141730518,0.944298282,0.086641918,0.587314289,0.86152658,1.238147219,0.751400658,1.253426625,0.597140537,0.719274919,-0.332391423,0.867622885,1.162063738,0.057435263,0.865620213,0.399748663,-0.281890755,0.761342205,-0.265588758,-0.009567429,-0.03827848,0.54204681,0.086212229,0.524796248,0.991520196,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2011-03,0.428333333,0.591976882,0.168477893,-0.912625197,0.300378365,1.08915025,1.051140291,0.718302791,1.352500409,0.317760985,1.121407867,0.294809485,0.528513129,0.941725393,1.342829882,0.731464502,1.180055815,0.702962295,0.577681629,-0.252742912,1.268615202,1.252765234,0.057435263,1.118854716,0.628029125,0.302696703,1.145287287,-0.156851776,-0.009567429,-0.03827848,0.54204681,0.086212229,0.631564648,1.142215528,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2011-04,0.423166667,-0.251097544,-0.200218752,-0.783882695,0.331451842,0.959998585,1.125778753,0.754298762,1.381736862,0.192632098,1.090724623,0.332408162,0.468935068,0.962330616,1.160369278,0.690760507,1.111083197,0.670886213,0.309880415,-0.232257464,1.373961433,1.184744112,0.057435263,1.191491094,0.732854244,0.467900955,0.983124844,-0.143035146,-0.009567429,-0.03827848,0.54204681,0.086212229,0.578351023,0.99249398,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2011-05,0.382333333,-0.386363181,-0.251719562,-0.780017534,0.340093488,0.950539545,0.990081821,0.75852191,1.372796412,0.183323327,1.089934293,0.329485376,0.578446063,0.966803882,1.079365867,0.635210643,1.076595035,0.654331039,0.293370763,-0.243011302,1.381372759,1.171796209,0.057435263,1.189758521,0.649767983,0.468370195,0.960716835,-0.142839745,-0.009567429,-0.03827848,0.54204681,0.086212229,0.527109932,0.972346905,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2011-06,0.382166667,-0.403956999,-0.209562456,-0.734500375,0.322233915,0.932526369,0.979625244,0.758888917,1.373823326,0.164228108,1.098730663,0.341412433,0.640079444,0.966924725,1.072796197,0.621154613,1.074256701,0.667664623,0.272136849,-0.225508428,1.388192267,1.186507196,0.057435263,1.185425527,0.639317611,0.48854239,0.953529214,-0.137501337,-0.009567429,-0.03827848,0.54204681,0.086212229,0.52161098,0.912942193,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2011-07,0.3785,-0.403956999,-0.212159508,-0.73374685,0.322418523,0.932526369,0.981260312,0.757053524,1.368686259,0.164228108,1.100532291,0.341047622,0.640079444,0.963419082,1.072796197,0.621154613,1.075273558,0.667104087,0.272136849,-0.229386428,1.38682888,1.183862342,0.057435263,1.185208819,0.636182122,0.486666363,0.953529214,-0.137501337,-0.009567429,-0.03827848,0.54204681,0.086212229,0.518130908,0.912942193,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2011-08,0.3995,-0.452914146,-0.284110979,-0.73374685,0.304835107,0.903684159,0.980933334,0.756686339,1.361630968,0.125122379,1.087788203,0.324123811,0.632544825,0.954098857,1.073929371,0.622373874,1.063766003,0.65742269,0.254992804,-0.243297787,1.35989811,1.168996332,0.057435263,1.160902333,0.611511345,0.485962827,0.932640417,-0.137501337,-0.009567429,-0.03827848,0.54204681,0.086212229,0.511057254,0.867648309,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2011-09,0.424166667,-0.570507721,-0.524642988,-0.73374685,0.252094322,0.862691365,0.915500949,0.70585533,1.280985349,0.092699247,1.076811092,0.265506024,0.567714662,0.852755898,0.98541069,0.617938553,1.016943507,0.647859125,0.167016137,-0.300507815,1.326584988,1.079787695,0.057435263,1.031730491,0.540407771,0.484086663,0.896034168,-0.137501337,-0.009567429,-0.03827848,0.54204681,0.086212229,0.511057254,0.819342847,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
2011-10,0.407,-0.628335487,-0.364507407,-0.566948666,-0.003601512,0.849761747,0.787502807,0.603051378,1.353532267,0.045098726,1.1115469,0.200664262,0.427740119,0.795689211,1.054411357,0.63874511,1.03231142,0.606679862,0.18355541,-0.252313973,1.399673434,1.08098728,0.057435263,1.139577263,0.507169189,0.636276788,1.109106871,0.019467991,-0.009567429,-0.03827848,0.54204681,0.086212229,0.603720971,0.874389899,0.465991794,0.434229026,0.41329661,0.36172539,0.36172539,0.434229026
