YearMonth,Jalisco-Jalisco_precio_frec_mean,25015,25116,25037,14066,14132
2012-12,5.325,-0.28,-0.39,0.16,-0.207299124,-0.32
2013-01,5.36,-0.24,-0.43,0.16,-0.070308718,-0.16
2013-02,5.3,-0.21,-0.41,0.16,-0.069529808,-0.16
2013-03,5.35,-0.21,-0.4,0.17,-0.062567925,-0.15
2013-04,4.94,-0.21,-0.4,0.16,-0.11897617,-0.15
2013-05,5.2,-0.21,-0.44,0.14,-0.086044801,-0.19
2013-06,4.75,-0.23,-0.44,0.12,-0.232930089,-0.28
2013-07,4.9,-1.04,-0.45,-0.05,-0.844070106,-0.78
2013-08,5.125,-1.3,-0.73,0.25,-0.755718596,-0.71
2013-09,5,0.9,-0.57,1.14,0.384918134,-0.29
2013-10,5,0.85,-0.46,1.12,0.32390201,-0.3
2013-11,5.095693443,1.17,-0.6,1.22,0.507173802,-0.19
2013-12,4.522029656,1.17,-0.55,1.45,0.697345041,0.02
2014-01,4.509661866,1.16,-0.58,1.43,0.690584038,0.03
2014-02,5.032849606,1.1,-0.57,1.4,0.474888192,-0.29
2014-03,4.968300329,1.1,-0.56,1.45,0.494808567,-0.28
2014-04,4.968300329,1.1,-0.56,1.45,0.494808567,-0.28
2014-05,4.775861914,1.1,-0.6,1.43,0.55529935,-0.16
2014-06,4.266666667,1.6,-0.62,1.38,0.552431112,-0.16
2014-07,5.2,1.66,-0.02,1.67,0.585767985,-0.55
2014-08,4.9,1.49,-0.25,1.87,0.457234658,-0.68
2014-09,4.5,1.41,-0.29,1.78,0.699963952,-0.24
2014-10,4.5,1.1,0.03,1.7,0.682133355,-0.19
2014-11,4.5,1.22,0.05,1.82,0.838033172,-0.08
2014-12,4.7,1.11,-0.11,1.78,0.38,-0.16
2015-01,5,1.1,-0.05,1.78,0.24,-0.31
2015-02,4.925,1.17,0,1.81,0.37,-0.23
2015-03,4.6,1.23,0.01,1.9,0.66,-0.12
2015-04,4.36,1.23,0.03,1.92,0.67,-0.11
2015-05,4.575,1.23,0,1.9,0.81,0.04
2015-06,4.5,1.36,0.03,1.9,1.47,0.54
2015-07,4.5,1.56,0.1,1.91,1.35,0.49
2015-08,4.625,1.8,0.5,1.91,1.7,0.4
2015-09,5,0.42,0.64,1.45,1.19,0.31
2015-10,5.25,1.17,0.65,1.63,1.22,0.33
2015-11,4.9,0.83,0.75,1.48,1.12,0.26
2015-12,4.92,1.14,0.7,1.47,0.94,0.1
2016-01,5.05,1.11,0.7,1.45,0.92,0.11
2016-02,4.925,1.06,0.7,1.43,0.94,0.11
